group_id,village_number,district
1049,219,stora_barriarrevet
1058,219,stora_barriarrevet
15952,219,stora_barriarrevet
15915,219,stora_barriarrevet
16056,219,stora_barriarrevet
834,122,amazonas
16052,122,amazonas
16106,310,ostersjon
15893,310,ostersjon
16085,310,ostersjon
15863,246,stora_barriarrevet
14799,246,stora_barriarrevet
1034,142,amazonas
16043,142,amazonas
15874,142,amazonas
15911,142,amazonas
14882,434,himalaya
15955,434,himalaya
16088,202,stora_barriarrevet
15042,202,stora_barriarrevet
1288,421,himalaya
16024,421,himalaya
1032,217,stora_barriarrevet
15965,217,stora_barriarrevet
15908,217,stora_barriarrevet
738,349,ostersjon
753,349,ostersjon
15993,349,ostersjon
16102,349,ostersjon
1637,240,stora_barriarrevet
746,240,stora_barriarrevet
15871,240,stora_barriarrevet
1019,231,stora_barriarrevet
15990,231,stora_barriarrevet
1128,106,amazonas
15941,106,amazonas
15808,317,ostersjon
15068,317,ostersjon
15813,317,ostersjon
959,410,himalaya
958,410,himalaya
954,410,himalaya
15959,410,himalaya
1085,414,himalaya
16027,414,himalaya
15880,329,ostersjon
15945,329,ostersjon
774,329,ostersjon
15900,329,ostersjon
15866,329,ostersjon
15121,437,himalaya
15937,437,himalaya
15938,553,sahara
15879,553,sahara
1143,553,sahara
15962,553,sahara
14876,406,himalaya
16074,406,himalaya
16114,406,himalaya
15247,222,stora_barriarrevet
15929,222,stora_barriarrevet
15271,222,stora_barriarrevet
741,134,amazonas
15974,134,amazonas
1016,206,stora_barriarrevet
14905,206,stora_barriarrevet
15894,206,stora_barriarrevet
827,441,himalaya
16045,441,himalaya
751,107,amazonas
16047,417,himalaya
1132,417,himalaya
1157,417,himalaya
1135,304,ostersjon
15906,304,ostersjon
16048,446,himalaya
938,446,himalaya
16025,413,himalaya
14810,413,himalaya
16051,433,himalaya
749,433,himalaya
747,433,himalaya
812,433,himalaya
1014,447,himalaya
15916,447,himalaya
1092,411,himalaya
15892,411,himalaya
15222,411,himalaya
782,309,ostersjon
15901,309,ostersjon
15840,440,himalaya
15246,440,himalaya
15243,440,himalaya
16037,440,himalaya
15236,440,himalaya
15261,440,himalaya
14818,438,himalaya
16026,438,himalaya
806,532,sahara
15899,532,sahara
14991,532,sahara
1168,141,amazonas
14806,141,amazonas
15878,141,amazonas
1167,141,amazonas
16050,228,stora_barriarrevet
761,228,stora_barriarrevet
15802,445,himalaya
15782,445,himalaya
15759,445,himalaya
15704,445,himalaya
15964,445,himalaya
16049,225,stora_barriarrevet
884,225,stora_barriarrevet
15984,230,stora_barriarrevet
1024,230,stora_barriarrevet
921,129,amazonas
15909,129,amazonas
918,129,amazonas
15831,138,amazonas
16042,138,amazonas
14957,138,amazonas
1352,105,amazonas
1105,105,amazonas
15913,105,amazonas
14874,546,sahara
15859,546,sahara
15948,546,sahara
15864,531,sahara
1144,531,sahara
939,531,sahara
765,439,himalaya
15923,439,himalaya
1152,428,himalaya
15956,428,himalaya
832,528,sahara
15957,528,sahara
1098,210,stora_barriarrevet
15958,210,stora_barriarrevet
1091,237,stora_barriarrevet
15970,237,stora_barriarrevet
16087,242,stora_barriarrevet
14868,242,stora_barriarrevet
872,242,stora_barriarrevet
16070,242,stora_barriarrevet
15905,242,stora_barriarrevet
16069,430,himalaya
15252,430,himalaya
1102,303,ostersjon
15858,303,ostersjon
1104,550,sahara
15873,550,sahara
15649,550,sahara
789,102,amazonas
803,102,amazonas
869,215,stora_barriarrevet
15183,215,stora_barriarrevet
1304,215,stora_barriarrevet
1299,215,stora_barriarrevet
1045,212,stora_barriarrevet
1044,212,stora_barriarrevet
1052,212,stora_barriarrevet
1149,212,stora_barriarrevet
1306,334,ostersjon
795,334,ostersjon
798,334,ostersjon
4562,514,sahara
923,514,sahara
819,515,sahara
817,515,sahara
937,342,ostersjon
930,342,ostersjon
924,342,ostersjon
1065,340,ostersjon
1064,340,ostersjon
1037,431,himalaya
14871,431,himalaya
1047,431,himalaya
825,513,sahara
829,513,sahara
965,419,himalaya
