group_id,village_number,district
22459,219,stora_barriarrevet
23118,219,stora_barriarrevet
15952,219,stora_barriarrevet
15915,219,stora_barriarrevet
16056,219,stora_barriarrevet
4006,122,amazonas
16052,122,amazonas
16106,310,ostersjon
15893,310,ostersjon
16085,310,ostersjon
15863,246,stora_barriarrevet
80860110,246,stora_barriarrevet
22344,142,amazonas
16043,142,amazonas
15874,142,amazonas
15911,142,amazonas
80860123,434,himalaya
15955,434,himalaya
16088,202,stora_barriarrevet
61035772,202,stora_barriarrevet
51029,421,himalaya
16024,421,himalaya
22342,217,stora_barriarrevet
15965,217,stora_barriarrevet
15908,217,stora_barriarrevet
1113,349,ostersjon
1259,349,ostersjon
15993,349,ostersjon
16102,349,ostersjon
1279,240,stora_barriarrevet
1203,240,stora_barriarrevet
15871,240,stora_barriarrevet
22224,231,stora_barriarrevet
15990,231,stora_barriarrevet
32030,106,amazonas
15941,106,amazonas
15808,317,ostersjon
61034208,317,ostersjon
61035736,317,ostersjon
15008,410,himalaya
15007,410,himalaya
15002,410,himalaya
15959,410,himalaya
23345,414,himalaya
16027,414,himalaya
15880,329,ostersjon
15945,329,ostersjon
2006,329,ostersjon
15900,329,ostersjon
15866,329,ostersjon
62038503,437,himalaya
15937,437,himalaya
15938,553,sahara
15879,553,sahara
32060,553,sahara
15962,553,sahara
81460225,406,himalaya
16074,406,himalaya
16114,406,himalaya
50000074,222,stora_barriarrevet
15929,222,stora_barriarrevet
50000024,222,stora_barriarrevet
1137,134,amazonas
15974,134,amazonas
22119,206,stora_barriarrevet
22172,206,stora_barriarrevet
15894,206,stora_barriarrevet
3027,441,himalaya
16045,441,himalaya
1239,107,amazonas
16107,107,amazonas
16066,107,amazonas
16047,417,himalaya
32039,417,himalaya
33136,417,himalaya
32046,304,ostersjon
15906,304,ostersjon
16048,446,himalaya
13305,446,himalaya
16025,413,himalaya
80860114,413,himalaya
16051,433,himalaya
1223,433,himalaya
1209,433,himalaya
3003,433,himalaya
22114,447,himalaya
15916,447,himalaya
23446,411,himalaya
15892,411,himalaya
50000009,411,himalaya
2016,309,ostersjon
15901,309,ostersjon
34040,440,himalaya
50000070,440,himalaya
50000066,440,himalaya
16037,440,himalaya
50000042,440,himalaya
50000006,440,himalaya
80660066,438,himalaya
16026,438,himalaya
2052,532,sahara
15899,532,sahara
1483,532,sahara
33434,141,amazonas
82160349,141,amazonas
15878,141,amazonas
33409,141,amazonas
16050,228,stora_barriarrevet
1405,228,stora_barriarrevet
61033766,445,himalaya
61033728,445,himalaya
61033722,445,himalaya
61033701,445,himalaya
15964,445,himalaya
16049,225,stora_barriarrevet
11010,225,stora_barriarrevet
15984,230,stora_barriarrevet
22229,230,stora_barriarrevet
12036,129,amazonas
15909,129,amazonas
12029,129,amazonas
14318,138,amazonas
16042,138,amazonas
90050702,138,amazonas
63010,105,amazonas
31020,105,amazonas
15913,105,amazonas
80761087,546,sahara
15859,546,sahara
15948,546,sahara
15864,531,sahara
32061,531,sahara
13307,531,sahara
1416,439,himalaya
15923,439,himalaya
33105,428,himalaya
15956,428,himalaya
15960,428,himalaya
4003,528,sahara
15957,528,sahara
31002,210,stora_barriarrevet
15958,210,stora_barriarrevet
23439,237,stora_barriarrevet
15970,237,stora_barriarrevet
16087,242,stora_barriarrevet
81461236,242,stora_barriarrevet
6413,242,stora_barriarrevet
16070,242,stora_barriarrevet
15905,242,stora_barriarrevet
16069,430,himalaya
50000048,430,himalaya
31008,303,ostersjon
15858,303,ostersjon
31011,550,sahara
15873,550,sahara
31022,550,sahara
2025,102,amazonas
2049,102,amazonas
6226,215,stora_barriarrevet
55036,215,stora_barriarrevet
53010,215,stora_barriarrevet
53002,215,stora_barriarrevet
22454,212,stora_barriarrevet
